Date,Open,High,Low,Close,Adj Close,Volume
2025-03-17,105.43000030517578,105.43000030517578,105.43000030517578,105.43000030517578,100.5929183959961,925000
2025-03-18,105.45999908447266,105.45999908447266,105.45999908447266,105.45999908447266,100.62153625488281,925000
2025-03-19,105.48999786376953,105.48999786376953,105.48999786376953,105.48999786376953,100.65016174316406,925000
2025-03-20,105.5199966430664,105.5199966430664,105.5199966430664,105.5199966430664,100.67877960205078,300000
2025-03-21,105.69999694824219,105.69999694824219,105.69999694824219,105.69999694824219,100.85052490234375,925000
2025-03-24,106,106,105.69999694824219,105.69999694824219,100.85052490234375,825000
2025-03-25,106,106,106,106,101.13676452636719,475000
2025-03-26,106,106,106,106,101.13676452636719,0
2025-03-27,106,106,106,106,101.13676452636719,325000
2025-03-28,106,106,106,106,101.13676452636719,0
2025-04-01,106,106,106,106,101.13676452636719,0
2025-04-02,106,106,106,106,101.13676452636719,0
2025-04-03,106,106,106,106,101.13676452636719,0
2025-04-04,106,106,106,106,101.13676452636719,0
2025-04-07,106,106,106,106,101.13676452636719,0
2025-04-08,106,106,106,106,101.13676452636719,0
2025-04-09,106,106,106,106,101.13676452636719,0
2025-04-11,106,106,106,106,101.13676452636719,0
2025-04-15,106,106,106,106,101.13676452636719,0
2025-04-16,106,106,106,106,101.13676452636719,0
2025-04-17,106,106,106,106,101.13676452636719,0
2025-04-21,106,106,106,106,101.13676452636719,0
2025-04-22,106,106,106,106,101.13676452636719,0
2025-04-23,106,106,106,106,101.13676452636719,0
2025-04-24,106,106,106,106,101.13676452636719,0
2025-04-25,106,106,106,106,101.13676452636719,0
2025-04-28,106,106,106,106,101.13676452636719,0
2025-04-29,106,106,106,106,101.13676452636719,0
2025-04-30,106,106,106,106,101.13676452636719,0
2025-05-02,106,106,106,106,101.13676452636719,0
2025-05-05,106,106,106,106,101.13676452636719,0
2025-05-06,106,106,106,106,101.13676452636719,0
2025-05-07,106,106,106,106,101.13676452636719,0
2025-05-08,106,106,106,106,101.13676452636719,0
2025-05-09,106,106,106,106,101.13676452636719,0
2025-05-12,106,106,106,106,101.13676452636719,0
2025-05-13,106,106,106,106,101.13676452636719,0
2025-05-14,106,106,106,106,101.13676452636719,0
2025-05-15,106,106,106,106,101.13676452636719,0
2025-05-16,106,106,106,106,101.13676452636719,0
2025-05-19,106,106,106,106,101.13676452636719,0
2025-05-20,106,106,106,106,101.13676452636719,0
2025-05-21,106,106,106,106,101.13676452636719,0
2025-05-22,106,106,106,106,101.13676452636719,0
2025-05-23,106,106,106,106,101.13676452636719,0
2025-05-26,106,106,106,106,101.13676452636719,0
2025-05-27,106,106,106,106,101.13676452636719,0
2025-05-28,106,106,106,106,101.13676452636719,0
2025-05-29,106,106,106,106,101.13676452636719,0
2025-05-30,106,106,106,106,103.5296630859375,0
2025-06-02,106,106,106,106,103.5296630859375,0
2025-06-03,106,106,106,106,103.5296630859375,0
2025-06-04,106,106,106,106,103.5296630859375,0
2025-06-05,106,106,106,106,103.5296630859375,0
2025-06-06,106,106,106,106,103.5296630859375,0
2025-06-09,106,106,106,106,103.5296630859375,0
2025-06-10,106,106,106,106,103.5296630859375,0
2025-06-11,106,106,106,106,103.5296630859375,0
2025-06-12,106,106,106,106,103.5296630859375,0
2025-06-13,117.5,117.5,117.5,117.5,114.76165771484375,125000
2025-06-16,117.5,117.5,117.5,117.5,114.76165771484375,0
2025-06-17,117.5,117.5,117.5,117.5,114.76165771484375,0
2025-06-18,112.55999755859375,112.55999755859375,112.55999755859375,112.55999755859375,109.93678283691406,950000
2025-06-19,112.55999755859375,112.55999755859375,112.55999755859375,112.55999755859375,109.93678283691406,900000
2025-06-20,112.55999755859375,115.5,112.55999755859375,115.5,112.80826568603516,825000
2025-06-23,112.55999755859375,112.55999755859375,112.55999755859375,112.55999755859375,109.93678283691406,1150000
