Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,37000.05078125,37229,36412.25,37078.6484375,35912.43359375,419
2023-10-27,37599.94921875,37615.25,37334.1484375,37541.30078125,36360.53125,598
2023-10-30,37514.1015625,38179.1484375,37392.1484375,37553.8984375,36372.734375,628
2023-10-31,37660.05078125,38107.5,37434.3515625,37845.6484375,36655.30859375,387
2023-11-01,37700.05078125,37937.8984375,37363.19921875,37415.69921875,36238.875,396
2023-11-02,37506.05078125,37730.05078125,37035.05078125,37575,36393.1640625,244
2023-11-03,37862.3515625,37862.3515625,37304.30078125,37406.8515625,36230.3125,284
2023-11-06,37420.05078125,37773.5,37402,37522.5,36342.32421875,281
2023-11-07,37400.05078125,37520,37166.6484375,37255.30078125,36083.51953125,463
2023-11-08,37346,37925.8984375,37230.44921875,37863.8984375,36672.9765625,644
2023-11-09,38095.94921875,38725,37281,37658.8984375,36474.4296875,936
2023-11-10,37605.75,38400,37436.80078125,38342.1015625,37136.140625,724
2023-11-13,38399.94921875,38399.94921875,36920.75,37049.94921875,35884.62890625,1239
2023-11-15,37300,37300,36800,36984.3515625,35821.09375,972
2023-11-16,37050.05078125,37480,36929.1484375,37444.75,36267.015625,362
2023-11-17,37739.94921875,37775.80078125,37282.25,37487.8984375,36381.67578125,902
2023-11-20,37361.05078125,37689.55078125,37351.05078125,37508.8515625,36402.01171875,186
2023-11-21,37400.05078125,38050,37400.05078125,37673.19921875,36561.5078125,290
2023-11-22,37866.69921875,38275.94921875,37633.1484375,37772.80078125,36658.17578125,224
2023-11-23,37789.8515625,37945,37624.80078125,37720.55078125,36607.46484375,319
2023-11-24,37747.5,37789.30078125,37421,37489.3515625,36383.08203125,357
2023-11-28,37599.94921875,37902.25,37488.80078125,37651.1015625,36540.06640625,255
2023-11-29,37749.94921875,37849.94921875,37302,37344.94921875,36242.94140625,186
2023-11-30,37554.94921875,37554.94921875,37070,37216.5,36118.29296875,310
2023-12-01,37364.6015625,37930.69921875,37161.44921875,37816.3515625,36700.43359375,464
2023-12-04,37999.94921875,38215,37400.6015625,37468.8984375,36363.234375,1096
2023-12-05,37749.8984375,37749.8984375,36800,36807.75,35721.59765625,15805
2023-12-06,37000,37579.05078125,36680,36771.05078125,35685.98046875,582
2023-12-07,36901,37709.25,36697,37434,36329.37109375,1441
2023-12-08,37499.94921875,37700,37100.05078125,37347.8515625,36245.76171875,452
2023-12-11,37350.8984375,37390,36900,37279.19921875,36179.13671875,1153
2023-12-12,37105.05078125,37656,37105.05078125,37439.25,36334.45703125,1318
2023-12-13,37345.3984375,37700,37154,37633.6484375,36523.125,812
2023-12-14,37625,37786,37427.05078125,37691.25,36579.03125,1163
2023-12-15,37799.8984375,38075,37708.6015625,37804,36688.453125,1073
2023-12-18,37804.05078125,38592.19921875,37600.55078125,37963.8984375,36843.625,594
2023-12-19,37838.69921875,38071.1015625,37700,37743.1015625,36629.34375,1374
2023-12-20,37743.1484375,38156.3515625,36850,37074.3984375,35980.37890625,681
2023-12-21,37150,37293.6015625,36750.6015625,37228.80078125,36130.2265625,843
2023-12-22,37386,37699.94921875,36996.1484375,37574.1015625,36465.33203125,1164
2023-12-26,37999.8984375,37999.8984375,37430.05078125,37538.55078125,36430.83203125,201
2023-12-27,37538.55078125,37999.94921875,37400,37936.8984375,36817.42578125,251
2023-12-28,37936.8984375,38634.6484375,37840,38541.55078125,37404.23828125,2124
2023-12-29,38404.05078125,38872.69921875,38375.05078125,38495.8515625,37359.88671875,543
2024-01-01,38640,38990,38501,38771,37626.9140625,249
2024-01-02,38600.05078125,39230,38153.6484375,39189.30078125,38032.875,382
2024-01-03,39192.25,39350,38700,38760.8984375,37617.11328125,941
2024-01-04,38760,39170.1484375,38616.1484375,39074.6015625,37921.55859375,244
2024-01-05,39100.1015625,39200,38700,38889.75,37742.1640625,692
2024-01-08,38818.6484375,38889.8984375,37600,37705.8515625,36593.1953125,508
2024-01-09,37846,37959.25,36179.80078125,36480.3984375,35403.90625,2474
2024-01-10,35750.75,37200,35750.75,37148.6015625,36052.390625,1643
2024-01-11,37199.94921875,37300,36793,36817.30078125,35730.86328125,803
2024-01-12,36820.69921875,37386.94921875,36670,36881.1015625,35792.7890625,650
2024-01-15,36808.05078125,37798,36629.3984375,37597.44921875,36487.9921875,2024
2024-01-16,37884.94921875,39774.6015625,37634.8984375,38253.1015625,37124.296875,2506
2024-01-17,38253,38349.44921875,37400,37715.05078125,36602.125,627
2024-01-18,,,,,,
2024-01-19,37800,38002.1484375,37525,37638.3984375,36527.73046875,274
2024-01-23,37446.05078125,37659.1484375,36560,36638.1015625,35556.95703125,441
2024-01-24,36710,36834.94921875,36201,36603.6015625,35523.4765625,13841
2024-01-25,36500.05078125,36817.80078125,36208.25,36693.55078125,35610.765625,766
2024-01-29,36998.94921875,37870,36460.8984375,37614.1484375,36504.19921875,449
2024-01-30,37400.05078125,37697.25,36881.1015625,36986.05078125,35894.63671875,146
2024-01-31,36986.05078125,37399.94921875,36888.5,37288.8515625,36188.5,408
2024-02-01,37288.8515625,37288.8515625,36935.75,37000.30078125,35908.46875,320
2024-02-02,36969.75,37196.8984375,36879.05078125,36984.6015625,35893.234375,236
2024-02-05,36984.6484375,37356.80078125,36577.94921875,36712.5,35629.16015625,910
2024-02-06,36826.05078125,36997.69921875,36251.1015625,36359.6484375,35286.71875,419
2024-02-07,36359.6484375,36451.05078125,36080,36256.19921875,35186.32421875,1221
2024-02-08,36300,37350,35900.05078125,36719.44921875,35635.90625,1089
2024-02-09,36740,36901,35890,36309.69921875,35238.2421875,953
2024-02-12,36500,36500,35700.05078125,36081.94921875,35017.2109375,2092
2024-02-13,36295,36348.19921875,35940.1484375,35997,34934.7734375,246
2024-02-14,36109.8984375,36159.6015625,35697.8984375,36041.25,34977.71484375,294
2024-02-15,36241.55078125,36436,36050,36291.8984375,35220.96484375,209
2024-02-16,36200.1015625,36503.1484375,36100,36324.5,35350.01171875,228
2024-02-19,36599.94921875,36899.94921875,36316.3515625,36658.1015625,35674.6640625,370
2024-02-20,36599.8984375,36666.80078125,36232.8984375,36414.55078125,35437.64453125,365
2024-02-21,36500,36629.80078125,36200,36290.3984375,35316.828125,214
2024-02-22,36384.3984375,36473.94921875,36009.05078125,36078,35110.125,186
2024-02-23,36194.94921875,36400,36000,36090.75,35122.5390625,167
2024-02-26,36399.6484375,36430.75,35663.8515625,36078.1484375,35110.26953125,639
2024-02-27,36278.05078125,36278.05078125,35509.3515625,35588.5,34633.7578125,1161
2024-02-28,36249.94921875,36249.94921875,34269.94921875,34473.6015625,33548.765625,894
2024-02-29,34452,34598.6484375,34000,34304.05078125,33383.76171875,1210
2024-03-01,34300.19921875,35786,34300.1484375,35612.3515625,34656.96875,815
2024-03-04,35686,35686,35125.3984375,35471.6015625,34519.99609375,342
2024-03-05,35500.05078125,35739.6015625,35291.44921875,35676.6484375,34719.54296875,1292
2024-03-06,35603.6484375,35757.6484375,35416.1015625,35692.69921875,34735.16015625,228
2024-03-07,35727.55078125,35912,35466.8515625,35856.25,34894.328125,245
2024-03-11,35998,36116.6015625,35673.30078125,35847.1484375,34885.46875,253
2024-03-12,35800.25,35882.75,35001,35084.3984375,34143.18359375,217
2024-03-13,35345.94921875,35346,33900,34005.1015625,33092.8359375,492
2024-03-14,34005.1484375,34625.6484375,33685.69921875,34372.05078125,33449.94140625,473
2024-03-15,34485.55078125,35072.1015625,34140,34609.25,33680.77734375,523
2024-03-18,35299.75,35475.6484375,34596.6015625,34800.3984375,33866.80078125,456
2024-03-19,34742.25,34742.25,33933.5,34015.94921875,33103.39453125,275
2024-03-20,33900.75,34154.5,33100,33223.3984375,32332.10546875,349
2024-03-21,33600,34214.44921875,33283.3515625,34017.1015625,33104.51171875,325
2024-03-22,33986,34500,33979.69921875,34447.05078125,33522.9296875,201
2024-03-26,34100.25,34752,34100.25,34578.80078125,33651.14453125,401
