Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,672,675.5,670,670.5,609.5889892578125,15800
2023-10-27,670.5,679.5,668.5,674.5,613.2255249023438,10800
2023-10-30,675,675,660,664.5,604.134033203125,69000
2023-10-31,671,673,667,670,609.1343994140625,55000
2023-11-01,676,677.5,671.5,675,613.68017578125,23200
2023-11-02,682.5,691.5,682.5,688,625.499267578125,28600
2023-11-06,695.5,695.5,683.5,688.5,625.9537353515625,60000
2023-11-07,690,698.5,690,697,633.681640625,26400
2023-11-08,699,699.5,677,689.5,626.8629150390625,127600
2023-11-09,719.5,762.5,715.5,759.5,690.5038452148438,428000
2023-11-10,749,758,737.5,756.5,687.7764282226562,98600
2023-11-13,747,747,722.5,731,664.5928955078125,55600
2023-11-14,734,756,734,755,686.4126586914062,36200
2023-11-15,760,760.5,747.5,749.5,681.4122924804688,31600
2023-11-16,750.5,755,747.5,751.5,683.2305908203125,18000
2023-11-17,750.5,764.5,738.5,763.5,694.1405029296875,26600
2023-11-20,760,763.5,750,750,681.8668823242188,22200
2023-11-21,753.5,753.5,740,740,672.7753295898438,18000
2023-11-22,740,759,740,757.5,688.6854858398438,18800
2023-11-24,757.5,772.5,751.5,762,692.7767333984375,47800
2023-11-27,762.5,782.5,762.5,777,706.4140625,30200
2023-11-28,777,787.5,777,784.5,713.2327880859375,40800
2023-11-29,789.5,817.5,785,810.5,736.8707885742188,56200
2023-11-30,827.5,835,808,829.5,754.144775390625,87000
2023-12-01,827.5,836.5,816.5,825,750.0536499023438,71200
2023-12-04,817,832.5,802,826,750.9627075195312,89600
2023-12-05,826,835,822,830,754.5993041992188,28200
2023-12-06,830,841.5,826.5,838.5,762.3271484375,48200
2023-12-07,835,835.5,816,822,747.3260498046875,54400
2023-12-08,817.5,831.5,794.5,806,732.7796020507812,117000
2023-12-11,816,828,807,823,748.2352294921875,60800
2023-12-12,820.5,830,819.5,824,749.1444091796875,38600
2023-12-13,824,855.5,821.5,854.5,776.8736572265625,96600
2023-12-14,848,863.5,841,854,776.4191284179688,99200
2023-12-15,858.5,878,858.5,877.5,797.7842407226562,75000
2023-12-18,890,891,864.5,881,800.96630859375,111400
2023-12-19,871,880,860.5,875,795.5113525390625,72800
2023-12-20,874.5,888,868,884,803.6937866210938,88400
2023-12-21,866,880,857,872.5,793.238525390625,55000
2023-12-22,868,885,868,885,804.6029663085938,83400
2023-12-25,890,890,847,860,781.8740234375,39400
2023-12-26,860,874,859.5,862.5,784.1468505859375,13800
2023-12-27,863,871,851.5,871,791.874755859375,18200
2023-12-28,871.5,887,868.5,868.5,789.601806640625,36600
2023-12-29,866.5,873,864.5,871.5,792.329345703125,18400
2024-01-04,861.5,877,859.5,871,791.874755859375,22000
