Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,10466,10566,10372,10546,10541.4814453125,2347407
2023-10-26,10438,10514,10368,10392,10387.5478515625,2652740
2023-10-27,10288,10458,10102,10124,10119.662109375,1707716
2023-10-30,10140,10320,10088,10218,10213.62109375,4438387
2023-10-31,10278,10330,10162,10250,10245.6083984375,2913453
2023-11-01,10298,10402,10162,10336,10331.5712890625,1837433
2023-11-02,10376,10440,10264,10362,10357.5595703125,1595747
2023-11-03,10334,10416,10160,10270,10265.6005859375,1219573
2023-11-06,10248,10320,10194,10276,10271.59765625,1893919
2023-11-07,10208,10290,10146,10230,10225.6171875,1729632
2023-11-08,10248,10400,10170,10170,10165.6435546875,4678524
2023-11-09,10600,10600,10274,10436,10431.529296875,2005703
2023-11-10,10402,10510,10026,10090,10085.67578125,1775830
2023-11-13,10182,10314,10122,10248,10243.6083984375,1737947
2023-11-14,10304,10332,10146,10186,10181.6357421875,1464278
2023-11-15,10230,10290,10058,10090,10085.67578125,1944444
2023-11-16,10066,10178,10012,10166,10161.64453125,2120644
2023-11-17,10212,10328,10178,10260,10255.603515625,1631489
2023-11-20,10132,10246,10042,10106,10101.669921875,1727350
2023-11-21,10106,10192,10040,10192,10187.6328125,858427
2023-11-22,10176,10238,10072,10086,10081.6796875,1785560
2023-11-23,10110,10246,9983,10174,10169.640625,735970
2023-11-24,10198,10264,10118,10180,10175.638671875,1108994
2023-11-27,10142,10236,9976,9976,9971.7255859375,1447262
2023-11-28,9956,10068,9851,9900,9895.7578125,3203391
2023-11-29,9894,10084,9778,10032,10027.7021484375,1725710
2023-11-30,10036,10158,9895,10126,10121.662109375,9359776
2023-12-01,10188,10304,9993,10198,10193.630859375,1154807
2023-12-04,10138,10278,10086,10266,10261.6015625,1170647
2023-12-05,10214,10328,10080,10144,10139.654296875,1325441
2023-12-06,10194,10256,10082,10130,10125.66015625,2642947
2023-12-07,10110,10190,10026,10098,10093.673828125,1517762
2023-12-08,10124,10196,10036,10122,10117.6630859375,1060358
2023-12-11,10096,10150,9949,10096,10091.673828125,1756079
2023-12-12,10124,10283.7265625,10104,10172,10167.6416015625,2707895
2023-12-13,10212,10498,10110,10390,10385.548828125,2683892
2023-12-14,10532,10690,10328,10468,10463.5166015625,5495627
2023-12-15,10362,10430,10140,10186,10181.6357421875,5082046
2023-12-18,10220,10382,10124,10356,10351.5625,1600437
2023-12-19,10356,10424,10272,10346,10341.5673828125,2158756
2023-12-20,10412,10560,10282,10484,10479.5078125,3950260
2023-12-21,10436,10552,10368,10480,10475.5107421875,2224399
2023-12-22,10350,10454,10350,10436,10431.529296875,651734
2023-12-27,10472,10622,10428,10528,10523.4892578125,1044256
2023-12-28,10564,10712,10350,10574,10569.4697265625,708410
2023-12-29,10526,10662,10306,10600,10595.4580078125,455940
2024-01-02,10632,10838,10534,10788,10783.37890625,1688733
2024-01-03,10686,10810,10626,10740,10735.3994140625,2972338
2024-01-04,10768,10902,10746,10864,10859.345703125,1896074
2024-01-05,10756,10842,10714,10758,10753.3916015625,1161094
2024-01-08,10716,10772,10676,10772,10767.384765625,1921363
2024-01-09,10834,10918,10814,10902,10897.330078125,3005457
2024-01-10,10830,10926,10810,10900,10895.330078125,1411866
2024-01-11,10928,11022,10716,10830,10825.3603515625,2156932
2024-01-12,10838,10888,10814,10862,10857.3466796875,1212597
2024-01-15,10824,10900,10804,10852,10847.3505859375,2283608
2024-01-16,10714,10766,10478,10646,10641.439453125,2913853
2024-01-17,10500,10570,10360,10446,10441.5244140625,2279952
2024-01-18,10366,10434,10342,10432,10427.5302734375,4541622
2024-01-19,10458,10654,10458,10508,10503.498046875,2568801
2024-01-22,10468,10904,10452,10590,10585.462890625,4529556
2024-01-23,10584,10626,10370,10452,10447.5224609375,3506309
2024-01-24,10508,10536,10398,10454,10449.5224609375,1801745
2024-01-25,10432,10474,10362,10448,10443.5244140625,1237869
2024-01-26,10526,10660,10521.6796875,10546,10541.4814453125,2343648
2024-01-29,10550,10614,10512,10568,10563.4716796875,1795640
2024-01-30,10578,10682,10562,10586,10581.4638671875,1999073
2024-01-31,10610,10654,10500,10500,10495.501953125,2715037
2024-02-01,10548,10566,10392,10430,10425.53125,2269904
2024-02-02,10496,10510.1298828125,10360,10360,10355.5615234375,2943228
2024-02-05,10360,10432,10306,10360,10355.5615234375,1682816
2024-02-06,10372,10544,10314,10534,10529.4873046875,1552211
2024-02-07,10604,10652,10490,10490,10485.5048828125,2075810
2024-02-08,10404,10490,9700,9823,9818.7919921875,6500972
2024-02-09,9891,9983,9722,9761,9756.818359375,5562493
2024-02-12,9700,9734,9461,9501,9496.9287109375,4460371
2024-02-13,9586,9670,9550,9600,9595.88671875,2232817
2024-02-14,9649,9736,9541,9724,9719.8330078125,6274728
2024-02-15,9729,9867,9674,9826,9821.7900390625,2047764
2024-02-16,9900,10112,9849,10094,10089.67578125,2703767
2024-02-19,10338,10498,10294,10418,10413.5361328125,1881311
2024-02-20,10370,10428.396484375,10204,10204,10199.6279296875,2386943
2024-02-21,10126,10180,10068,10102,10097.6728515625,1580412
2024-02-22,10030,10036,9822,10036,10033.25,8891048
2024-02-23,10008,10254,9998,10220,10217.19921875,4911338
2024-02-26,10222,10360,10222,10254,10251.1904296875,5309043
2024-02-27,10246,10345.4677734375,10214,10328,10325.1689453125,6762881
2024-02-28,10318,10344,10180,10180,10177.2109375,2604518
2024-02-29,10202,10202,9982.001953125,9983,9980.2646484375,4557961
