Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,7.375,7.349999904632568,7.099999904632568,7.375,7.375,183464
2023-10-26,7.375,7.5,6.699999809265137,6.875,6.875,355326
2023-10-27,6.875,7,6.747000217437744,6.875,6.875,248421
2023-10-30,6.875,7,6.75,6.875,6.875,508666
2023-10-31,6.875,7,6.75,7,7,71579
2023-11-01,6.75,7,6.5,6.75,6.75,123926
2023-11-02,6.75,6.829999923706055,6.829999923706055,6.75,6.75,28846
2023-11-03,6.75,6.75,6.735000133514404,6.75,6.75,26294
2023-11-06,7.25,7.5,7,7,7,296226
2023-11-07,6.875,6.980000019073486,6.610000133514404,6.875,6.875,68244
2023-11-08,6.875,7.25,6.699999809265137,6.875,6.875,69161
2023-11-09,6.875,7.25,6.699999809265137,6.875,6.875,154015
2023-11-10,6.875,7.050000190734863,6.5,7,7,349841
2023-11-13,6.5,7,6.125,6.5,6.5,212642
2023-11-14,6.5,6.630000114440918,6.599999904632568,6.5,6.5,87143
2023-11-15,6.5,6.650000095367432,6.130000114440918,6.625,6.625,252701
2023-11-16,6.260000228881836,6.260000228881836,6.260000228881836,6.625,6.625,31666
2023-11-17,6.625,6.888000011444092,6.474999904632568,6.625,6.625,461047
2023-11-20,6.625,6.480000019073486,6.050000190734863,6.5,6.5,221937
2023-11-21,6.5,6.5,6.5,6.5,6.5,0
2023-11-22,6.5,6.769999980926514,6.769999980926514,6.5,6.5,10000
2023-11-23,6.5,6.71999979019165,6.043000221252441,6.25,6.25,156950
2023-11-24,6.25,6.849999904632568,6.361000061035156,6.375,6.375,277245
2023-11-27,6.375,6.638000011444092,6.170000076293945,6.5,6.5,140003
2023-11-28,6.5,6.949999809265137,6.949999809265137,6.5,6.5,57267
2023-11-29,6.5,6.999000072479248,6.949999809265137,6.75,6.75,80025
2023-11-30,6.75,7,7,6.75,6.75,6993
2023-12-01,6.75,7.5,7,7,7,384332
2023-12-04,7,7.25,6.650000095367432,7,7,334395
2023-12-05,7,7.119999885559082,6.699999809265137,7,7,34473
2023-12-06,7,7.099999904632568,6.699999809265137,7,7,55503
2023-12-07,7,7.074999809265137,7,7,7,95144
2023-12-08,7,7.400000095367432,7.199999809265137,7,7,53920
2023-12-11,7,7.300000190734863,6.75,7,7,173186
2023-12-12,7,7.449999809265137,6.699999809265137,7,7,51228
2023-12-13,7,7,6.75,7,7,529890
2023-12-14,7,7,7,7,7,0
2023-12-15,7,7.21999979019165,6.699999809265137,7,7,87382
2023-12-18,7,6.5,6.5,7,7,28
2023-12-19,7,6.5,6.5,7,7,117
2023-12-20,7,7.5,6.75,7.5,7.5,17873
2023-12-21,7,7.449999809265137,6.75,7.25,7.25,597004
2023-12-22,7.25,7.5,7,7.25,7.25,57617
2023-12-27,7.25,7.050000190734863,7,7.25,7.25,69064
2023-12-28,7.25,7.5,7,7.5,7.5,68603
2023-12-29,7.25,7.5,7.433000087738037,7.25,7.25,5666
2024-01-02,7.25,7.650000095367432,7,7.650000095367432,7.650000095367432,39684
2024-01-03,7.25,7.5,6.5,7.25,7.25,253551
2024-01-04,7.25,7.146999835968018,7.050000190734863,7.25,7.25,47253
2024-01-05,7.25,7.5,7.025000095367432,7.25,7.25,56712
2024-01-08,7.25,7.349999904632568,7,7.25,7.25,43391
2024-01-09,7.230000019073486,7.230000019073486,7.230000019073486,7.25,7.25,6799
2024-01-10,7.25,7.25,7.230000019073486,7.25,7.25,165000
2024-01-11,7.25,7.329999923706055,7.050000190734863,7.25,7.25,123686
2024-01-12,7.25,7.5,7,7,7,36001
2024-01-15,7,7,7,7,7,0
2024-01-16,7,7,7,7,7,0
2024-01-17,7,7.5,6.550000190734863,7,7,110868
2024-01-18,7,6.550000190734863,6.550000190734863,6.75,6.75,15450
2024-01-19,6.75,6.75,6.75,6.75,6.75,0
2024-01-22,6.75,7,6.550000190734863,6.75,6.75,94209
2024-01-23,6.75,7,6.5,6.75,6.75,34403
2024-01-24,6.75,6.75,6.75,6.75,6.75,0
2024-01-25,6.75,6.699999809265137,6.695000171661377,6.75,6.75,90000
2024-01-26,6.75,6.519999980926514,6.519999980926514,6.75,6.75,75000
2024-01-29,6.75,6.75,6.75,6.75,6.75,0
2024-01-30,6.75,6.724999904632568,6.724999904632568,6.75,6.75,14761
2024-01-31,6.75,6.5,6.5,6.75,6.75,4740
2024-02-01,6.75,6.5,6,6.25,6.25,224489
2024-02-02,6.25,6.5,6,6.25,6.25,69083
2024-02-05,6.25,6,5.900000095367432,6.150000095367432,6.150000095367432,30000
2024-02-06,6.25,7,5.900000095367432,5.900000095367432,5.900000095367432,996782
2024-02-07,6,5.949999809265137,5.949999809265137,6,6,28228
2024-02-08,6,6.039999961853027,5.843999862670898,6,6,167407
2024-02-09,6,7.25,5.995999813079834,7,7,659725
2024-02-12,7,7.449999809265137,6.5,7,7,707282
2024-02-13,7,7.375,6.554999828338623,7,7,177129
2024-02-14,7,7.5,6.603000164031982,7,7,50121
2024-02-15,7,8,6.659999847412109,7.75,7.75,270419
2024-02-16,7.75,7.625,7.559999942779541,7.650000095367432,7.650000095367432,353180
2024-02-19,7.650000095367432,8,7.699999809265137,7.75,7.75,43553
2024-02-20,7.75,8,7.5,7.75,7.75,657
2024-02-21,7.75,8,7.505000114440918,7.75,7.75,47607
2024-02-22,7.75,7.900000095367432,7.550000190734863,7.75,7.75,91449
2024-02-23,7.75,8.25,7.309999942779541,8,8,227972
2024-02-26,8,8.972999572753906,7.775000095367432,8.75,8.75,1188671
