Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,81200,82400,74800,78600,78600,4
2023-10-26,76200,79350,70800,72000,72000,6
2023-10-27,70800,75310,70000,71400,71400,1
2023-10-30,74800,74800,65100,65920,65920,2
2023-10-31,65100,69500,65070,67500,67500,3
2023-11-01,69000,77900,67000,69100,69100,5
2023-11-02,70500,75400,66700,69200,69200,5
2023-11-03,70520,71900,64100,65300,65300,3
2023-11-06,67200,69000,60000,61500,61500,5
2023-11-07,61800,62910,58200,59500,59500,4
2023-11-08,59000,60700,48580,50100,50100,6
2023-11-09,49300,51500,43000,43590,43590,3
2023-11-10,45600,45600,40800,41700,41700,7
2023-11-13,43800,43900,40800,41700,41700,3
2023-11-14,42200,70000,42100,48300,48300,129
2023-11-15,43600,51600,42800,45600,45600,12
2023-11-16,46000,46000,38300,39400,39400,8
2023-11-17,36500,39700,34600,35000,35000,9
2023-11-20,36000,38000,35100,35700,35700,4
2023-11-21,36900,36900,32730,34600,34600,6
2023-11-22,35000,36100,33600,34100,34100,2
2023-11-24,35800,36500,34100,36300,36300,3
2023-11-27,38500,38500,33400,35500,35500,9
2023-11-28,34800,35600,33100,35000,35000,3
2023-11-29,35000,35770,33000,35000,35000,20
2023-11-30,46500,53000,35300,39700,39700,718
2023-12-01,36200,39400,33000,34000,34000,55
2023-12-04,33800,41500,33500,39800,39800,63
2023-12-05,38100,39800,34600,34700,34700,26
2023-12-06,33900,37500,33900,33900,33900,15
2023-12-07,34100,41000,34100,37100,37100,54
2023-12-08,35700,37540,34200,34300,34300,19
2023-12-11,34400,39800,34400,38000,38000,34
2023-12-12,70300,95000,55400,60900,60900,3560
2023-12-13,50800,63800,47200,62900,62900,193
2023-12-14,57700,59990,51200,52500,52500,57
2023-12-15,50900,53000,48000,49800,49800,25
2023-12-18,48600,50970,42640,43200,43200,26
2023-12-19,45100,46770,43300,45800,45800,12
2023-12-20,48100,52200,44200,47600,47600,33
2023-12-21,49000,49590,43000,44400,44400,20
2023-12-22,44000,46000,42700,45500,45500,17
2023-12-26,44900,46000,44080,44800,44800,9
2023-12-27,44100,50000,44100,47100,47100,26
2023-12-28,47100,54900,46300,48200,48200,58
2023-12-29,65200,84700,58800,66300,66300,2770
2024-01-02,50800,56600,48000,48000,48000,72
2024-01-03,49300,55000,48100,53400,53400,39
2024-01-04,52300,54300,50500,51200,51200,17
2024-01-05,52700,53610,50000,50900,50900,13
2024-01-08,54600,55400,49000,51600,51600,47
2024-01-09,51000,53400,50400,52800,52800,15
2024-01-10,53700,63000,52300,61200,61200,60
2024-01-11,61200,63400,52700,54000,54000,34
2024-01-12,53100,54800,50700,51800,51800,19
2024-01-16,50800,51950,44400,45900,45900,24
2024-01-17,48600,48600,45010,45500,45500,6
2024-01-18,45300,46000,43500,44500,44500,13
2024-01-19,42500,43000,38800,40000,40000,17
2024-01-22,40500,41000,38600,40300,40300,7
2024-01-23,39500,40890,38500,40600,40600,7
2024-01-24,39800,40400,39100,40400,40400,6
2024-01-25,40000,40900,38200,38900,38900,8
2024-01-26,38600,39800,38600,39100,39100,3
2024-01-29,38900,40600,38500,40600,40600,6
2024-01-30,40500,43400,38900,39300,39300,40
2024-01-31,38500,39200,37500,38500,38500,6
2024-02-01,38000,38800,37100,37400,37400,7
2024-02-02,37400,37500,36300,37300,37300,2
2024-02-05,37300,38100,35600,36300,36300,6
2024-02-06,36200,37900,36200,37000,37000,7
2024-02-07,36400,37900,36300,37600,37600,10
2024-02-08,37300,38800,37000,38400,38400,7
2024-02-09,38500,38500,36000,36400,36400,4
2024-02-12,36800,38000,36400,37100,37100,3
2024-02-13,35700,41500,35700,39000,39000,35
2024-02-14,38600,40400,37500,38900,38900,10
2024-02-15,39000,39000,36530,37600,37600,7
2024-02-16,37600,38500,36900,38300,38300,3
2024-02-20,38300,41500,38000,40000,40000,25
2024-02-21,39200,39250,37200,37200,37200,5
2024-02-22,37800,38000,36200,36800,36800,3
2024-02-23,36600,37900,33840,34600,34600,7
2024-02-26,37400,37400,34700,34700,34700,4
2024-02-27,35700,36800,35000,36500,36500,3
2024-02-28,35800,37300,32900,34500,34500,8
2024-02-29,35200,35900,34000,34900,34900,3
2024-03-01,34700,34900,33870,34100,34100,3
2024-03-04,33900,34900,33900,34900,34900,2
2024-03-05,34800,34900,33890,34200,34200,2
2024-03-06,34900,34900,34000,34800,34800,4
2024-03-07,34900,41000,33800,39500,39500,113
2024-03-08,39000,40800,36300,37200,37200,15
2024-03-11,36500,38360,36100,37300,37300,5
2024-03-12,38100,38300,36900,36900,36900,5
2024-03-13,38000,38000,34800,37700,37700,7
2024-03-14,37700,37700,35400,37300,37300,4
2024-03-15,36400,36900,33700,33700,33700,8
2024-03-18,33400,33700,30350,31200,31200,6
2024-03-19,30800,32990,30500,30500,30500,6
2024-03-20,31500,32400,30600,32100,32100,4
2024-03-21,31400,32300,30900,30900,30900,2
2024-03-22,30900,32400,30800,31400,31400,2
2024-03-25,31000,32000,31000,31750,31750,1
2024-03-26,31440,31800,31000,31050,31050,1
2024-03-27,31900,31900,29500,30400,30400,6
2024-03-28,30520,34900,30500,34000,34000,37
2024-04-01,33800,36400,31800,31800,31800,26
2024-04-02,51280,54500,33000,33700,33700,1600
2024-04-03,31600,32000,30100,30900,30900,89
2024-04-04,30600,35000,29900,32400,32400,44
2024-04-05,33400,34200,30600,31100,31100,23
2024-04-08,31200,31500,30000,31100,31100,16
2024-04-09,30600,34180,30600,33000,33000,23
2024-04-10,32300,32300,30600,31200,31200,9
2024-04-11,31900,32600,31100,31500,31500,4
2024-04-12,31600,32100,30000,30100,30100,8
2024-04-15,30000,30800,26000,26700,26700,9
2024-04-16,25900,25900,23060,24300,24300,4
2024-04-17,24000,24600,23300,23500,23500,4
2024-04-18,25500,25500,22800,24100,24100,6
2024-04-19,24800,24800,22900,23500,23500,1
2024-04-22,24000,24000,21400,22200,22200,6
2024-04-23,23300,23300,21800,22700,22700,3
2024-04-24,24100,24100,22700,23700,23700,3
2024-04-25,23100,26900,22680,25300,25300,18
2024-04-26,24600,26500,23800,23900,23900,7
2024-04-29,24100,25450,23800,24100,24100,4
2024-04-30,23700,25400,23700,24100,24100,1
2024-05-01,23800,24800,23000,24100,24100,2
2024-05-02,23500,24700,23500,24700,24700,2
2024-05-03,23700,24000,22800,23000,23000,4
2024-05-06,23300,23700,21600,21600,21600,5
2024-05-07,21400,22100,19500,20400,20400,5
2024-05-08,20900,21200,20500,21000,21000,1
2024-05-09,20100,20900,20000,20700,20700,2
2024-05-10,21000,22400,20400,20700,20700,3
2024-05-13,20980,21290,20500,20600,20600,2
2024-05-14,21000,22500,21000,22000,22000,5
2024-05-15,21800,22250,19700,20500,20500,2
2024-05-16,20500,21420,19450,20100,20100,5
2024-05-17,20540,20600,20000,20100,20100,2
2024-05-20,20250,21200,20130,20900,20900,2
2024-05-21,20600,22200,20500,20800,20800,4
2024-05-22,21100,21900,20800,21100,21100,3
2024-05-23,20800,21000,20000,20700,20700,2
2024-05-24,20400,20600,20200,20300,20300,1
2024-05-28,20600,20600,19700,20100,20100,3
2024-05-29,20200,20200,19600,19900,19900,2
2024-05-30,20000,20000,19500,19500,19500,1
2024-05-31,19600,20000,19200,19200,19200,2
2024-06-03,20000,20050,19500,19900,19900,1
2024-06-04,19700,19700,19100,19100,19100,2
2024-06-05,19700,20100,19500,20100,20100,5
2024-06-06,19900,20100,19260,19380,19380,1
2024-06-07,19600,19690,19100,19300,19300,2
