Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,100.5,103.19999694824219,97.94999694824219,97.94999694824219,97.94999694824219,111
2023-10-26,97.94999694824219,101.25,95.55000305175781,95.55000305175781,95.55000305175781,11
2023-10-27,98.0999984741211,98.0999984741211,90,91.6500015258789,91.6500015258789,83
2023-10-30,91.6500015258789,91.6500015258789,87,87,87,57
2023-10-31,91.94999694824219,94.5,87,88.05000305175781,88.05000305175781,279
2023-11-01,87.75,97.3499984741211,87.75,88.6500015258789,88.6500015258789,22
2023-11-02,92.55000305175781,97.3499984741211,90.30000305175781,92.4000015258789,92.4000015258789,103
2023-11-03,97.5,124.19999694824219,93.75,123,123,3050
2023-11-06,142.5,143.5500030517578,120,124.5,124.5,2085
2023-11-07,124.5,135,106.5,106.5,106.5,681
2023-11-08,106.5,130.8000030517578,106.5,108,108,161
2023-11-09,113.69999694824219,117.30000305175781,108.1500015258789,117.30000305175781,117.30000305175781,163
2023-11-10,111.5999984741211,117,108,108.30000305175781,108.30000305175781,139
2023-11-13,108,108,84.1500015258789,100.5,100.5,459
2023-11-14,98.8499984741211,98.8499984741211,93,96.44999694824219,96.44999694824219,63
2023-11-15,97.6500015258789,103.5,96.44999694824219,97.80000305175781,97.80000305175781,75
2023-11-16,115.5,146.25,97.5,104.4000015258789,104.4000015258789,60363
2023-11-17,94.5,109.05000305175781,90,105,105,4187
2023-11-20,100.5,125.0999984741211,96.75,125.0999984741211,125.0999984741211,4017
2023-11-21,126.9000015258789,126.9000015258789,107.55000305175781,118.5,118.5,939
2023-11-22,133.5,133.5,104.69999694824219,106.6500015258789,106.6500015258789,1222
2023-11-24,104.0999984741211,110.69999694824219,97.5,97.94999694824219,97.94999694824219,1139
2023-11-27,99,109.5,93.9000015258789,95.0999984741211,95.0999984741211,1941
2023-11-28,96,96,87,90.5999984741211,90.5999984741211,305
2023-11-29,92.69999694824219,106.80000305175781,90,106.80000305175781,106.80000305175781,1414
2023-11-30,108.75,114,99,111.75,111.75,1915
2023-12-01,107.25,112.5,105,112.19999694824219,112.19999694824219,290
2023-12-04,109.5,117,105,112.5,112.5,333
2023-12-05,117,117,110.0999984741211,112.5,112.5,440
2023-12-06,116.8499984741211,117,109.5,111,111,629
2023-12-07,112.19999694824219,113.55000305175781,107.25,111.9000015258789,111.9000015258789,179
2023-12-08,111,117,109.5,114,114,383
2023-12-11,114,117,100.6500015258789,105,105,359
2023-12-12,105,108.75,100.3499984741211,103.5,103.5,172
2023-12-13,105,105,91.5,103.5,103.5,294
2023-12-14,102,105,97.5,103.94999694824219,103.94999694824219,361
2023-12-15,104.0999984741211,105,97.5,103.5,103.5,71
2023-12-18,105,105,93,97.5,97.5,393
2023-12-19,96,99.75,93,97.5,97.5,254
2023-12-20,96,99,94.5,99,99,321
2023-12-21,97.5,99,90,91.5,91.5,469
2023-12-22,93,97.3499984741211,88.5,93.1500015258789,93.1500015258789,218
