Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,1159.75,1194.949951171875,1030,1103.800048828125,1092.62841796875,11855
2023-10-31,1120.6500244140625,1145,1080.699951171875,1102.8499755859375,1091.68798828125,1216
2023-11-01,1100.050048828125,1153.75,1089.9000244140625,1116.75,1105.447265625,1189
2023-11-02,1132.949951171875,1168.6500244140625,1118.699951171875,1162.800048828125,1151.0311279296875,2807
2023-11-03,1167.8499755859375,1167.8499755859375,1070,1089.5999755859375,1078.572021484375,4549
2023-11-06,1101.3499755859375,1126.3499755859375,1101.3499755859375,1112.300048828125,1101.0423583984375,815
2023-11-07,1115.5999755859375,1121.800048828125,1091,1103.449951171875,1092.28173828125,2504
2023-11-08,1168,1168,1100,1134.1500244140625,1122.671142578125,4044
2023-11-09,1134.1500244140625,1134.5,1098.949951171875,1106.550048828125,1095.3504638671875,2046
2023-11-10,1100.5,1133.050048828125,1095.5,1099.949951171875,1088.8172607421875,1003
2023-11-13,1314.9000244140625,1396.800048828125,1275.949951171875,1310.550048828125,1297.285888671875,16776
2023-11-15,1345.449951171875,1345.449951171875,1281,1287.75,1274.716552734375,1608
2023-11-16,1285.050048828125,1318.25,1261.949951171875,1280.300048828125,1267.342041015625,4453
2023-11-17,1257.050048828125,1280.1500244140625,1250,1255.5,1242.79296875,4245
2023-11-20,1261.050048828125,1278,1226.300048828125,1233.5,1221.015625,2561
2023-11-21,1225,1369,1224.9000244140625,1356,1342.2757568359375,9322
2023-11-22,1348.800048828125,1363.0999755859375,1305.300048828125,1332.4000244140625,1318.9146728515625,4154
2023-11-23,1332.550048828125,1373.4000244140625,1314.75,1322.75,1309.3621826171875,2417
2023-11-24,1323,1323,1296,1298.9000244140625,1285.753662109375,1666
2023-11-28,1347.949951171875,1347.949951171875,1289.949951171875,1303.4000244140625,1290.2081298828125,2368
2023-11-29,1278.949951171875,1355,1261,1329.199951171875,1315.7469482421875,4985
2023-11-30,1355.800048828125,1464,1320,1340.800048828125,1327.229736328125,3779
2023-12-01,1350.199951171875,1429.050048828125,1332,1405.3499755859375,1391.126220703125,9758
2023-12-04,1407,1461.050048828125,1407,1439.6500244140625,1425.0791015625,7622
2023-12-05,1445,1445,1389.199951171875,1421.199951171875,1406.8157958984375,1256
2023-12-06,1392.050048828125,1449.949951171875,1380.5999755859375,1400.75,1386.57275390625,3248
2023-12-07,1413.949951171875,1414,1337,1363.0999755859375,1349.3038330078125,1012
2023-12-08,1367.8499755859375,1367.8499755859375,1313,1319.550048828125,1306.1947021484375,2533
2023-12-11,1329.949951171875,1340.25,1300.949951171875,1308.550048828125,1295.3060302734375,984
2023-12-12,1418.4000244140625,1480.1500244140625,1375,1384.6500244140625,1370.6358642578125,30454
2023-12-13,1412.3499755859375,1425.0999755859375,1352.199951171875,1415.300048828125,1400.9757080078125,4683
2023-12-14,1419.949951171875,1419.949951171875,1381.550048828125,1390.1500244140625,1376.0802001953125,5035
2023-12-15,1365.050048828125,1407.0999755859375,1365,1382.4000244140625,1368.4085693359375,1794
2023-12-18,1375,1427.6500244140625,1354.699951171875,1419.1500244140625,1404.78662109375,2451
2023-12-19,1425.8499755859375,1425.8499755859375,1383.6500244140625,1392.25,1378.1588134765625,1376
2023-12-20,1447.949951171875,1447.949951171875,1316.1500244140625,1333.75,1320.2509765625,1634
2023-12-21,1337,1363.5,1317.75,1330.699951171875,1317.231689453125,1891
2023-12-22,1350.1500244140625,1381.800048828125,1344,1354.800048828125,1341.0880126953125,471
2023-12-26,1367.5999755859375,1367.800048828125,1333.300048828125,1338.5,1324.952880859375,422
2023-12-27,1355,1355,1330,1339.5999755859375,1326.0416259765625,305
2023-12-28,1352.9000244140625,1354.449951171875,1321,1324.699951171875,1311.29248046875,632
2023-12-29,1340.4000244140625,1340.4000244140625,1279,1298.449951171875,1285.30810546875,1807
2024-01-01,1319,1328,1302.75,1317.5,1304.1654052734375,1785
2024-01-02,1324.300048828125,1324.3499755859375,1288.949951171875,1316.75,1303.423095703125,3639
2024-01-03,1310,1324,1292.0999755859375,1319.699951171875,1306.3431396484375,3303
2024-01-04,1322.8499755859375,1357.199951171875,1303,1335,1321.48828125,3953
2024-01-05,1339.949951171875,1353,1302.449951171875,1312.5999755859375,1299.31494140625,3117
2024-01-08,1315.800048828125,1323.449951171875,1300,1309.800048828125,1296.5433349609375,1466
2024-01-09,1296.949951171875,1300,1271.050048828125,1276.5999755859375,1263.6793212890625,6192
2024-01-10,1277.449951171875,1303.25,1243.9000244140625,1249.9000244140625,1237.2496337890625,1325
2024-01-11,1263.4000244140625,1305,1251.050048828125,1296.199951171875,1283.0809326171875,4002
2024-01-12,1321.800048828125,1355,1252,1294.8499755859375,1281.74462890625,5295
2024-01-15,1265.050048828125,1320.5,1254.8499755859375,1261.8499755859375,1249.07861328125,4329
2024-01-16,1263,1282,1250,1250.8499755859375,1238.18994140625,1471
2024-01-17,1251,1291.9000244140625,1251,1270.800048828125,1257.9381103515625,2216
2024-01-18,,,,,,
2024-01-19,1272.550048828125,1272.550048828125,1236.949951171875,1254.5999755859375,1241.9019775390625,4084
2024-01-23,1272.9000244140625,1272.9000244140625,1249,1249.5999755859375,1236.95263671875,787
2024-01-24,1251.050048828125,1269.449951171875,1249.4000244140625,1261.949951171875,1249.1776123046875,2266
2024-01-25,1269.1500244140625,1275,1250,1263.25,1250.4644775390625,533
2024-01-29,1276.449951171875,1280,1248.8499755859375,1252.050048828125,1239.3779296875,1704
2024-01-30,1262.949951171875,1263,1248,1259.949951171875,1247.1978759765625,2525
2024-01-31,1225,1273,1220.3499755859375,1263.949951171875,1251.1573486328125,3380
2024-02-01,1299.8499755859375,1299.8499755859375,1259.8499755859375,1265.800048828125,1252.9886474609375,2868
2024-02-02,1268,1280.199951171875,1260.050048828125,1273.5,1260.6107177734375,1241
2024-02-05,1309.949951171875,1309.949951171875,1250,1269.4000244140625,1256.5523681640625,1709
2024-02-06,1278.1500244140625,1373,1265,1329.199951171875,1315.7469482421875,9438
2024-02-07,1345.550048828125,1345.699951171875,1304.1500244140625,1310.3499755859375,1297.0877685546875,1164
2024-02-08,1349.050048828125,1349.050048828125,1300.050048828125,1308.1500244140625,1294.9100341796875,3897
2024-02-09,1280.699951171875,1333.050048828125,1250,1279.4000244140625,1266.4510498046875,2680
2024-02-12,1390,1390,1300,1316.6500244140625,1303.323974609375,7044
2024-02-13,1305,1320.050048828125,1237,1262.3499755859375,1249.5736083984375,4825
2024-02-14,1311,1315.6500244140625,1270.5999755859375,1311.75,1298.4736328125,1142
2024-02-15,1328.699951171875,1366.9000244140625,1275.800048828125,1284.5999755859375,1271.598388671875,836
2024-02-16,1295,1310,1292.050048828125,1301.449951171875,1288.27783203125,540
2024-02-19,1304,1370,1275,1294.75,1281.645751953125,7440
2024-02-20,1280,1289.3499755859375,1211,1279.1500244140625,1266.2034912109375,11000
2024-02-21,1242.75,1309,1242.75,1290.1500244140625,1277.09228515625,2204
2024-02-22,1300.050048828125,1304.300048828125,1276,1285.4000244140625,1272.390380859375,2555
2024-02-23,1270.0999755859375,1344,1211.0999755859375,1336.25,1322.7255859375,21702
