Date,Open,High,Low,Close,Adj Close,Volume
2023-10-27,165,170.5,139,147.5,147.5,3320
2023-10-30,147.5,156.5,145,153,153,3404
2023-10-31,153,157.5,146,148.5,148.5,1306
2023-11-01,149.5,152.25,141,147.5,147.5,1128
2023-11-02,148.5,160,147.5,152,152,908
2023-11-03,150,171.5,150,156,156,3028
2023-11-06,159.5,159.5,146.5,146.5,146.5,1216
2023-11-07,145.5,161.5,140,146.5,146.5,2046
2023-11-08,150,156.5,137.5500030517578,146.5,146.5,2388
2023-11-09,141,144,125,141,141,5696
2023-11-10,141,150,130.9499969482422,150,150,2308
2023-11-13,150,150,143,149,149,2454
2023-11-14,150,150,141.5,144,144,1756
2023-11-15,144.5,149.5,140.89999389648438,144.5,144.5,61694
2023-11-16,143.5,148,141.89999389648438,146,146,2468
2023-11-17,147,148.5,143,146,146,4494
2023-11-20,146,162.5,142.3000030517578,150,150,7698
2023-11-21,150,161,150,156,156,2888
2023-11-22,157,163.5,150,154,154,1768
2023-11-24,155,162,139,144,144,1778
2023-11-27,151.5,172,151.5,167,167,3102
2023-11-28,168.5,175.5,165.5,170,170,2208
2023-11-29,170,178,163,163,163,1422
2023-11-30,168.5,177.5,161,165.5,165.5,1354
2023-12-01,164,181,162.0500030517578,181,181,3252
2023-12-04,181,185.5,174.5,177,177,2960
2023-12-05,175,186,169.5,177,177,2486
2023-12-06,180.5,191.4499969482422,175.0500030517578,184.5,184.5,1804
2023-12-07,182,200,178.14999389648438,195.5,195.5,2958
2023-12-08,192.5,206,189.35000610351562,196.5,196.5,1872
2023-12-11,197,200,191.5,198.5,198.5,3324
2023-12-12,192,205.5,192,199.5,199.5,3088
2023-12-13,199,204.5,197,197.5,197.5,2640
2023-12-14,201.5,222.5,199,201,201,18658
2023-12-15,201.5,235,199,232.5,232.5,16700
2023-12-18,230,275,230,261,261,8194
2023-12-19,258,267.5,241,249.5,249.5,4282
2023-12-20,250,252,215,223,223,4386
2023-12-21,223.5,248,223.5,229.5,229.5,2634
2023-12-22,232.5,246.14999389648438,228,238.5,238.5,1626
2023-12-26,247,254,242,249,249,2042
2023-12-27,247.5,258.5,242,255,255,1926
2023-12-28,253.5,263.5,245.5,248.5,248.5,2118
2023-12-29,248.5,265.5,247.5,262,262,2442
2024-01-02,258.5,287.5,251.89999389648438,260,260,7238
2024-01-03,262.5,270,249.5,252,252,3106
2024-01-04,255,279.5,252.5,271.5,271.5,5288
2024-01-05,270,273.5,260,263,263,3682
2024-01-08,262,275,262,268.5,268.5,2144
2024-01-09,267.5,279,264.45001220703125,269.5,269.5,10376
2024-01-10,269.5,276,245,261,261,4478
2024-01-11,261,265.75,249.75,263,263,2344
2024-01-12,259.5,272.5,255.5,269,269,1320
2024-01-16,267.5,272,249.5,262.5,262.5,3330
2024-01-17,258,266,240,258,258,2476
2024-01-18,258,265.5,246,254.5,254.5,9458
2024-01-19,259,264.5,247.5,260,260,2298
2024-01-22,261.5,264.25,241,250,250,2952
2024-01-23,250.5,256.20001220703125,244,247.5,247.5,2094
2024-01-24,238.5,246.5,209.5,229,229,4212
2024-01-25,229.5,247.5,228.5,244.5,244.5,2560
2024-01-26,244.5,244.5,236.5,241.5,241.5,1518
2024-01-29,239.5,246.6999969482422,236,242.5,242.5,1526
2024-01-30,241.5,241.5,225.5,229,229,1666
2024-01-31,228.5,231.75,223.0500030517578,227.5,227.5,1512
2024-02-01,229,235.5,224.75,229.5,229.5,1480
2024-02-02,228.5,236,226.75,234,234,1974
2024-02-05,229.5,244,228.0500030517578,244,244,1838
2024-02-06,247.5,257,235,246.5,246.5,6892
2024-02-07,248,255,241,245,245,3162
2024-02-08,253.5,253.5,228,240.5,240.5,5142
2024-02-09,241,247,223,244,244,5446
2024-02-12,243.5,247.25,236.5,243.5,243.5,22604
2024-02-13,239,247.75,235,241,241,8814
2024-02-14,243,245.75,239,245,245,2160
2024-02-15,250,255,245.5,250,250,4846
2024-02-16,249,252.5,244.5,251.5,251.5,2600
2024-02-20,249.5,254,245.5,250,250,2568
2024-02-21,249.5,253.5,244.5,250,250,1664
2024-02-22,251,252.5,245,248,248,2244
2024-02-23,252,273,252,265,265,34122
2024-02-26,277.5,289.5,261,270,270,19348
2024-02-27,274,278.5,266.25,270.5,270.5,4212
2024-02-28,268.5,279.54998779296875,268,274,274,4278
2024-02-29,278.5,283,260.5,263,263,3560
2024-03-01,266,287.5,260.79998779296875,284.5,284.5,9736
2024-03-04,288.5,289.3999938964844,275.5,287,287,5284
2024-03-05,280.5,285,265.54998779296875,280,280,5774
2024-03-06,281.5,285.3999938964844,272,274.5,274.5,3362
2024-03-07,274,276.25,266,274.5,274.5,3472
2024-03-08,275.5,278,256,265.5,265.5,4650
2024-03-11,265.5,284,263,283,283,3468
2024-03-12,287,325.3999938964844,282.54998779296875,309.5,309.5,8584
2024-03-13,311.5,324.25,309,320.5,320.5,3150
2024-03-14,325,325,283.5,286.5,286.5,5304
2024-03-15,283,298.25,275,296.5,296.5,7786
2024-03-18,299,299,277.5,288.5,288.5,4190
2024-03-19,289.5,304.5,286.5,302,302,9950
2024-03-20,300.5,311.5,290,303.5,303.5,3972
2024-03-21,304,309.5,298,303.5,303.5,2154
2024-03-22,335.5,335.5,290.5,312,312,12262
2024-03-25,315.5,323,307.5,308,308,18968
2024-03-26,310,322.25,303,306.5,306.5,14032
2024-03-27,308,339.5,307.5,326.5,326.5,17430
2024-03-28,327,334,310,311,311,23084
2024-04-01,315.5,317.75,282.5,312.5,312.5,26600
2024-04-02,308.5,314.5,279.5,280.5,280.5,4340
2024-04-03,285.5,291.5,272.5,273,273,5288
2024-04-04,273,283,264,264,264,5988
2024-04-05,267,270.5,250.5,251,251,8472
2024-04-08,251,260,250.5,255,255,3500
2024-04-09,262.5,267,249.5,262,262,7558
2024-04-10,255,264.5,247,262.5,262.5,4750
2024-04-11,265.5,275,262.5,272,272,5388
2024-04-12,267,277.5,258,264,264,5280
2024-04-15,265,269.5,260,263.5,263.5,4804
2024-04-16,262,274,259.5,270,270,4882
2024-04-17,270,288.5,263.5,270.25,270.25,5984
2024-04-18,272.5,276,260.5,269.5,269.5,7756
2024-04-19,266,274,256,259.5,259.5,4680
2024-04-22,260,264,253.5,260.5,260.5,4816
2024-04-23,262,269.5,260.5,260.5,260.5,4578
2024-04-24,262.5,271,258,261.5,261.5,2414
2024-04-25,260,264,256.5,258.5,258.5,2106
2024-04-26,258,260,235,236,236,3144
2024-04-29,235,250.75,235,236.5,236.5,6056
2024-04-30,236.5,260,234,258,258,5234
2024-05-01,251.5,282.5,250,262.5,262.5,9434
2024-05-02,263,263,229,231.5,231.5,11652
2024-05-03,233,235.5,196,201.5,201.5,48796
2024-05-06,19.549999237060547,32,18,26.100000381469727,26.100000381469727,2172904
2024-05-07,22,24.5,20.5,21,21,381348
2024-05-08,20.5,21,19,19.5,19.5,154020
2024-05-09,19.5,19.850000381469727,18.049999237060547,19.350000381469727,19.350000381469727,105302
2024-05-10,19,19.25,17.799999237060547,18.649999618530273,18.649999618530273,73602
2024-05-13,18.149999618530273,18.450000762939453,17.850000381469727,18.149999618530273,18.149999618530273,51844
2024-05-14,17.5,19.149999618530273,17.399999618530273,18.600000381469727,18.600000381469727,75490
2024-05-15,18.649999618530273,18.75,17.350000381469727,17.799999237060547,17.799999237060547,47730
2024-05-16,18,18.450000762939453,17.700000762939453,18.399999618530273,18.399999618530273,43768
2024-05-17,18.549999237060547,20.950000762939453,17.799999237060547,19.149999618530273,19.149999618530273,117126
2024-05-20,19.049999237060547,20,18.600000381469727,18.649999618530273,18.649999618530273,66606
2024-05-21,19.799999237060547,19.899999618530273,16.75,17.75,17.75,96634
2024-05-22,17.5,17.850000381469727,16.850000381469727,17.100000381469727,17.100000381469727,53868
2024-05-23,17,17.350000381469727,16.049999237060547,16.299999237060547,16.299999237060547,70760
2024-05-24,16.399999618530273,16.700000762939453,15.5,16.299999237060547,16.299999237060547,58010
2024-05-28,16.350000381469727,16.899999618530273,16.049999237060547,16.700000762939453,16.700000762939453,32716
2024-05-29,16.100000381469727,16.75,16,16.549999237060547,16.549999237060547,25754
2024-05-30,16.450000762939453,16.950000762939453,16.100000381469727,16.600000381469727,16.600000381469727,25926
2024-05-31,16.350000381469727,16.799999237060547,16.149999618530273,16.399999618530273,16.399999618530273,19164
2024-06-03,16.100000381469727,16.450000762939453,15.25,16.25,16.25,44292
2024-06-04,16,16.299999237060547,15.5,16.200000762939453,16.200000762939453,51156
2024-06-05,16.649999618530273,16.649999618530273,15.600000381469727,16,16,32664
2024-06-06,16,17.149999618530273,15.800000190734863,16,16,43906
2024-06-07,15.699999809265137,16.149999618530273,15.699999809265137,16,16,20922
2024-06-10,15.699999809265137,15.949999809265137,15.350000381469727,15.600000381469727,15.600000381469727,26370
2024-06-11,15.350000381469727,15.649999618530273,15.149999618530273,15.5,15.5,14534
2024-06-12,15.300000190734863,15.850000381469727,15.300000190734863,15.5,15.5,16036
2024-06-13,15.100000381469727,15.75,15.050000190734863,15.5,15.5,17468
2024-06-14,15.300000190734863,15.300000190734863,14.300000190734863,14.75,14.75,34978
2024-06-17,14.5,14.75,13.5,13.550000190734863,13.550000190734863,33024
2024-06-18,13.350000381469727,13.600000381469727,12.800000190734863,12.949999809265137,12.949999809265137,32782
2024-06-20,13.199999809265137,13.699999809265137,12.949999809265137,13.100000381469727,13.100000381469727,37800
2024-06-21,13.100000381469727,13.800000190734863,13.100000381469727,13.5,13.5,38282
2024-06-24,13.699999809265137,14.25,13,13.149999618530273,13.149999618530273,44696
2024-06-25,13.149999618530273,13.550000190734863,12.850000381469727,12.899999618530273,12.899999618530273,47732
2024-06-26,12.899999618530273,13.550000190734863,12.649999618530273,13.350000381469727,13.350000381469727,46640
2024-06-27,13.300000190734863,13.75,12.649999618530273,13.050000190734863,13.050000190734863,81614
2024-06-28,12.899999618530273,14.449999809265137,12.699999809265137,13.850000381469727,13.850000381469727,159592
2024-07-01,13.649999618530273,15.399999618530273,13.649999618530273,14.850000381469727,14.850000381469727,51524
2024-07-02,14.949999809265137,14.949999809265137,14,14,14,21104
2024-07-03,14,14.5,13.699999809265137,14,14,10972
2024-07-05,14,14.25,13.300000190734863,13.600000381469727,13.600000381469727,16456
2024-07-08,13.600000381469727,14,13.050000190734863,13.449999809265137,13.449999809265137,30956
2024-07-09,13.449999809265137,14.350000381469727,13.25,13.550000190734863,13.550000190734863,26144
2024-07-10,13.550000190734863,14.699999809265137,13.5,14.649999618530273,14.649999618530273,15838
2024-07-11,14.5,15,13.449999809265137,14.600000381469727,14.600000381469727,36412
2024-07-12,14.600000381469727,15.050000190734863,14.199999809265137,14.550000190734863,14.550000190734863,24252
2024-07-15,14.449999809265137,15.25,14.449999809265137,15.25,15.25,25054
2024-07-16,15.25,15.75,15.199999809265137,15.5,15.5,26554
2024-07-17,15.550000190734863,15.699999809265137,14.75,15.300000190734863,15.300000190734863,19696
2024-07-18,15.25,15.300000190734863,14.399999618530273,14.449999809265137,14.449999809265137,17232
2024-07-19,14.5,14.550000190734863,13.600000381469727,14,14,20504
2024-07-22,14,14.449999809265137,13.550000190734863,14.449999809265137,14.449999809265137,16254
2024-07-23,14.300000190734863,15,14.100000381469727,15,15,12422
2024-07-24,14.550000190734863,14.949999809265137,14.25,14.5,14.5,15524
2024-07-25,14.600000381469727,15.5,14.149999618530273,15.449999809265137,15.449999809265137,15864
2024-07-26,15.199999809265137,15.449999809265137,14.75,15.399999618530273,15.399999618530273,12774
2024-07-29,15.199999809265137,16.950000762939453,14.899999618530273,16.450000762939453,16.450000762939453,42242
2024-07-30,16.149999618530273,16.149999618530273,15.149999618530273,16,16,26938
2024-07-31,15.949999809265137,16.549999237060547,15.399999618530273,16.25,16.25,19420
2024-08-01,15.800000190734863,16,14.800000190734863,15.300000190734863,15.300000190734863,16410
2024-08-02,15,16,14.050000190734863,14.449999809265137,14.449999809265137,19288
2024-08-05,14,14.75,13.399999618530273,14.399999618530273,14.399999618530273,27430
2024-08-06,14.25,17.200000762939453,13.949999809265137,16.5,16.5,31454
2024-08-07,16.200000762939453,16.200000762939453,14.399999618530273,15.300000190734863,15.300000190734863,19638
2024-08-08,14.949999809265137,15.699999809265137,14.449999809265137,15.399999618530273,15.399999618530273,20458
2024-08-09,15.350000381469727,15.5,14.75,15,15,25536
2024-08-12,15,15.5,14.25,15.149999618530273,15.149999618530273,13760
2024-08-13,15.050000190734863,15.300000190734863,14.800000190734863,15,15,18646
2024-08-14,15.050000190734863,15.050000190734863,14.149999618530273,14.350000381469727,14.350000381469727,22820
2024-08-15,14.399999618530273,14.899999618530273,14,14.5,14.5,41580
2024-08-16,14.850000381469727,15.149999618530273,14.350000381469727,14.949999809265137,14.949999809265137,14306
2024-08-19,15,16.350000381469727,14.600000381469727,15.600000381469727,15.600000381469727,23390
2024-08-20,15.199999809265137,16.399999618530273,15.199999809265137,16.299999237060547,16.299999237060547,27682
2024-08-21,16.399999618530273,17,15.800000190734863,16.75,16.75,22636
2024-08-22,16.399999618530273,16.649999618530273,15.25,15.600000381469727,15.600000381469727,19402
2024-08-23,15.649999618530273,16.200000762939453,15.25,15.800000190734863,15.800000190734863,8228
2024-08-26,15.5,17.149999618530273,15.5,17.100000381469727,17.100000381469727,23428
2024-08-27,16.700000762939453,16.950000762939453,16.25,16.5,16.5,13222
2024-08-28,16.549999237060547,16.700000762939453,15.449999809265137,15.949999809265137,15.949999809265137,22486
2024-08-29,15.850000381469727,16.350000381469727,15.449999809265137,15.75,15.75,15384
2024-08-30,15.550000190734863,16.149999618530273,15.25,16.100000381469727,16.100000381469727,13766
2024-09-03,16.100000381469727,16.100000381469727,14.5,15,15,14814
2024-09-04,15,15,14.149999618530273,14.399999618530273,14.399999618530273,10140
2024-09-05,14.649999618530273,14.800000190734863,13.899999618530273,14.25,14.25,10038
2024-09-06,14.199999809265137,14.600000381469727,13.649999618530273,13.649999618530273,13.649999618530273,14110
2024-09-09,13.649999618530273,14,13.100000381469727,13.300000190734863,13.300000190734863,22676
2024-09-10,13.350000381469727,13.850000381469727,13,13.350000381469727,13.350000381469727,17466
2024-09-11,13.350000381469727,13.649999618530273,12.75,13.399999618530273,13.399999618530273,14650
